,episode,score,Q_sum
495,495.0,0.0,704081.8062148589
496,496.0,0.0,704986.3646688381
497,497.0,1.0,707965.7588601614
498,498.0,0.0,710190.628671111
499,499.0,1.0,713170.9169115098
500,500.0,0.0,715160.7501166811
501,501.0,0.0,717736.1220535865
502,502.0,0.0,720188.8848040018
503,503.0,0.0,721606.3364010106
504,504.0,0.0,722791.2734787945
505,505.0,0.0,724478.885279199
506,506.0,0.0,726379.2341885468
507,507.0,0.0,729472.0838866202
508,508.0,1.0,731921.5177160719
509,509.0,0.0,733358.6934457897
510,510.0,0.0,734998.723357402
511,511.0,2.0,736803.4801399333
512,512.0,0.0,739252.9203602053
513,513.0,0.0,740560.0071653238
514,514.0,0.0,741838.792751579
515,515.0,2.0,744187.8935151717
516,516.0,0.0,746014.3117306363
517,517.0,2.0,747852.3111337064
518,518.0,0.0,749449.766465804
519,519.0,1.0,751245.13124188
520,520.0,0.0,753765.8729523103
521,521.0,0.0,755399.1601875457
522,522.0,0.0,758261.2637789479
523,523.0,0.0,760786.8584117417
524,524.0,0.0,762016.5604300617
525,525.0,1.0,764002.405017672
526,526.0,0.0,765858.6567534301
527,527.0,0.0,767202.4925694369
528,528.0,0.0,769974.2734471132
529,529.0,0.0,772278.7237723145
530,530.0,0.0,773164.7603634195
531,531.0,1.0,775264.8691966548
532,532.0,0.0,778028.661386837
533,533.0,1.0,781274.7234371881
534,534.0,0.0,782440.9174467402
535,535.0,0.0,785051.0341520048
536,536.0,1.0,787136.8435308365
537,537.0,1.0,788919.0554819751
538,538.0,1.0,791154.5206152509
539,539.0,0.0,793177.654641192
540,540.0,0.0,793878.423372419
541,541.0,1.0,796732.6225988786
542,542.0,0.0,799428.8999662229
543,543.0,0.0,802110.4197862328
544,544.0,1.0,803705.4551066488
545,545.0,1.0,805740.327437025
546,546.0,0.0,808577.1718019961
547,547.0,0.0,810279.157531262
548,548.0,0.0,811300.8140422815
549,549.0,1.0,812844.7442044121
550,550.0,1.0,814017.531442149
551,551.0,1.0,815965.2814988251
552,552.0,0.0,817735.3056354176
553,553.0,0.0,819398.6040823546
554,554.0,0.0,820741.873710853
555,555.0,1.0,822164.8926109916
556,556.0,0.0,824014.0991419221
557,557.0,0.0,827041.5220599382
558,558.0,0.0,828218.3632894281
559,559.0,0.0,828832.6249791469
560,560.0,1.0,831289.5081941843
561,561.0,0.0,832407.6796844447
562,562.0,1.0,834361.9610035522
563,563.0,0.0,836602.8501225056
564,564.0,0.0,839222.347965504
565,565.0,1.0,842165.0758813603
566,566.0,0.0,843974.5120915553
567,567.0,0.0,846518.4116982098
568,568.0,0.0,849103.4392645234
569,569.0,0.0,851390.6506382903
570,570.0,0.0,853120.1154980457
571,571.0,0.0,855150.7469994924
572,572.0,0.0,856680.0938740061
573,573.0,0.0,858518.574740874
574,574.0,0.0,860650.1712002318
575,575.0,0.0,861803.399211503
576,576.0,1.0,863044.6086941704
577,577.0,1.0,864906.6306186508
578,578.0,0.0,867214.8136896089
579,579.0,1.0,869016.5741976365
580,580.0,0.0,870457.6472325658
581,581.0,0.0,871980.9037570743
582,582.0,0.0,874156.1863157051
583,583.0,1.0,875748.938363254
584,584.0,0.0,877289.8111782484
585,585.0,1.0,878917.0578908037
586,586.0,0.0,881380.8673725898
587,587.0,0.0,883035.815459471
588,588.0,1.0,884408.7844837641
589,589.0,0.0,887470.51810523
590,590.0,0.0,889028.6134944854
591,591.0,0.0,890765.8039005611
592,592.0,0.0,893052.8104658925
593,593.0,0.0,894431.9617257724
594,594.0,0.0,896336.2479294835
595,595.0,0.0,898906.3756054414
596,596.0,0.0,900120.3026011549
597,597.0,0.0,901724.9992665654
598,598.0,0.0,903756.6276818735
599,599.0,0.0,905365.9590940875
600,600.0,1.0,906309.8946250933
601,601.0,2.0,907401.2709876014
602,602.0,0.0,909327.8503424083
603,603.0,1.0,911847.0282488221
604,604.0,1.0,913787.2713069808
605,605.0,0.0,915317.1004482119
606,606.0,2.0,917122.5260902937
607,607.0,0.0,918907.8201630912
608,608.0,0.0,920935.7630103362
609,609.0,0.0,922432.806337222
610,610.0,0.0,924156.2160516015
611,611.0,0.0,925924.9822714853
612,612.0,1.0,928994.4326269933
613,613.0,0.0,930311.9772457025
614,614.0,0.0,931139.458181945
615,615.0,0.0,932744.4422935086
616,616.0,1.0,934085.8855830047
617,617.0,0.0,935007.5514889107
618,618.0,0.0,936987.3800254042
619,619.0,1.0,938205.0337028072
620,620.0,0.0,940094.9788377325
621,621.0,0.0,941830.6136364785
622,622.0,0.0,944193.0424244341
623,623.0,0.0,946121.5987979632
624,624.0,0.0,947427.5142151758
625,625.0,0.0,948653.1519142224
626,626.0,1.0,949815.7859173503
627,627.0,0.0,951138.1796766422
628,628.0,0.0,952144.9192254249
629,629.0,0.0,954026.3446436606
630,630.0,0.0,955942.3090337218
631,631.0,0.0,957171.0303537662
632,632.0,0.0,958558.7908927724
633,633.0,0.0,960157.7501152868
634,634.0,0.0,961040.6706353191
635,635.0,0.0,963204.0817239762
636,636.0,0.0,964672.8852673667
637,637.0,0.0,965523.2048168208
638,638.0,0.0,966316.0466222275
639,639.0,1.0,968046.2344844758
640,640.0,0.0,969802.2843189217
641,641.0,0.0,971707.8661817812
642,642.0,0.0,972941.4618939529
643,643.0,0.0,974514.6613738039
644,644.0,0.0,975233.411802391
645,645.0,0.0,975925.2699980885
646,646.0,0.0,977217.713374493
647,647.0,0.0,978903.5595210249
648,648.0,0.0,980209.7843218341
649,649.0,0.0,981357.0114312718
650,650.0,0.0,982300.6802706221
651,651.0,0.0,983450.2041314187
652,652.0,0.0,984798.6061247316
653,653.0,0.0,986519.806796232
654,654.0,2.0,988413.4297730407
655,655.0,0.0,990983.5565399986
656,656.0,1.0,992198.8949641144
657,657.0,1.0,993550.5368112526
658,658.0,1.0,996215.5560708696
659,659.0,0.0,997145.1398114011
660,660.0,0.0,998949.7361620561
661,661.0,0.0,999967.309570396
662,662.0,0.0,1001007.1909529881
663,663.0,0.0,1003686.23455794
664,664.0,0.0,1005614.7395056
665,665.0,1.0,1008226.500514634
666,666.0,1.0,1009586.6026179378
667,667.0,0.0,1011464.3784285601
668,668.0,1.0,1014670.4675071362
669,669.0,2.0,1017528.1612678602
670,670.0,0.0,1018621.2031806031
671,671.0,0.0,1020044.7718028097
672,672.0,2.0,1021854.7792171908
673,673.0,0.0,1023262.5252672706
674,674.0,0.0,1023956.2056749455
675,675.0,1.0,1026077.0379481965
676,676.0,1.0,1027075.9557951033
677,677.0,1.0,1028591.7273144651
678,678.0,1.0,1030312.9856213894
679,679.0,0.0,1031126.3435953667
680,680.0,1.0,1032263.3622758538
681,681.0,0.0,1033478.8067628876
682,682.0,2.0,1035126.6473378763
683,683.0,1.0,1037103.3650339312
684,684.0,0.0,1039795.9926941672
685,685.0,2.0,1041096.3863819992
686,686.0,1.0,1042368.6646462025
687,687.0,1.0,1043390.0866970273
688,688.0,0.0,1045952.0351851298
689,689.0,0.0,1047282.8954645245
690,690.0,0.0,1048309.175908623
691,691.0,1.0,1049316.6760543487
692,692.0,1.0,1050324.9376450658
693,693.0,0.0,1051531.0107673714
694,694.0,0.0,1052889.078547953
695,695.0,1.0,1054408.5491702943
696,696.0,0.0,1055118.6019461781
697,697.0,0.0,1056711.1497185642
698,698.0,0.0,1058316.8897716268
699,699.0,0.0,1058825.471552131
700,700.0,0.0,1059937.8585610166
701,701.0,0.0,1061469.430460295
702,702.0,0.0,1063099.006896372
703,703.0,0.0,1065610.0831260434
704,704.0,1.0,1067488.5008968073
705,705.0,1.0,1068738.4226954198
706,706.0,0.0,1069979.251334073
707,707.0,0.0,1071055.793610228
708,708.0,1.0,1073338.0398899578
709,709.0,1.0,1074665.9385298146
710,710.0,0.0,1075583.365857493
711,711.0,0.0,1076969.8617202695
712,712.0,0.0,1078022.4304376326
713,713.0,0.0,1079222.1991765066
714,714.0,0.0,1080973.2165458514
715,715.0,0.0,1082174.4391211432
716,716.0,0.0,1084457.6727327837
717,717.0,0.0,1086098.3360843363
718,718.0,1.0,1087576.074037203
719,719.0,1.0,1089106.585879967
720,720.0,0.0,1091649.1546408243
721,721.0,0.0,1093131.3203248756
722,722.0,0.0,1095101.0501128747
723,723.0,2.0,1096370.8423928544
724,724.0,1.0,1097715.8227173977
725,725.0,1.0,1099195.0587975914
726,726.0,1.0,1100339.5858317136
727,727.0,0.0,1102463.391480332
728,728.0,0.0,1104567.6104127858
729,729.0,0.0,1105975.3337135483
730,730.0,0.0,1107225.581270113
731,731.0,1.0,1108590.5163902568
732,732.0,1.0,1109796.6409885627
733,733.0,0.0,1111208.7311182034
734,734.0,1.0,1113737.413299917
735,735.0,0.0,1115717.1024153845
736,736.0,0.0,1117096.4055525584
737,737.0,1.0,1119018.3052120858
738,738.0,1.0,1122086.3204258229
739,739.0,2.0,1125264.8295008577
740,740.0,0.0,1126117.0214135211
741,741.0,0.0,1127186.4814709618
742,742.0,2.0,1128946.5403822074
743,743.0,0.0,1130363.03020626
744,744.0,1.0,1131282.979928457
745,745.0,0.0,1133114.366079133
746,746.0,1.0,1134457.1869598965
747,747.0,1.0,1136062.1213006987
748,748.0,1.0,1137185.9841496013
749,749.0,0.0,1139499.7287032048
750,750.0,0.0,1141797.44508666
751,751.0,1.0,1143700.0559150407
752,752.0,0.0,1146757.215832806
753,753.0,0.0,1148719.622732456
754,754.0,0.0,1150914.793132064
755,755.0,0.0,1151976.0030241963
756,756.0,0.0,1153129.839537208
757,757.0,1.0,1154487.1171553168
758,758.0,0.0,1155240.1016889424
759,759.0,0.0,1156352.2760716144
760,760.0,0.0,1157234.4324903225
761,761.0,1.0,1158739.1464719062
762,762.0,1.0,1159617.5697732312
763,763.0,0.0,1161599.4353318347
764,764.0,1.0,1164207.4018767837
765,765.0,0.0,1165163.5505489076
766,766.0,1.0,1166684.950216966
767,767.0,1.0,1169717.0367139915
768,768.0,0.0,1171406.0426112148
769,769.0,0.0,1172908.4459812068
770,770.0,0.0,1174742.2477706063
771,771.0,0.0,1175843.6899701064
772,772.0,0.0,1177829.2380468822
